sentence,aspect,sentiment
the food sucks.,food,negative
"clean, breakfast is fine, but the rooms are too small.",food,neutral
"the hotel is very comfortable and the staff are very friendly and cooperative, the internet was free and its speed is excellent, the breakfast buffet is varied and delicious, its only drawback is the furniture is a bit old",furniture,negative
experience any talk hard viewbeautiful and good of goa rooms hotel and rooms are simple and clean swimming pools are nice and beautiful,pool,negative
the front desk staff were not welcome.,hotelservices,negative
"there are a total of 5 hotels and we got off in the last one. the air conditioner wasn't working and the mechanic came and fixed it, and it ran for two hours and then it broke down. it happened every night",facilities,neutral
the average is just a finely-preserved hotel. it is about 5 minutes away from the kingdom centre and al faisaliah tower. the rooms were spacious and had old furniture.,location,neutral
a very ordinary hotel. they can't handle it. wi-fi's broken.,reception,negative
"a good hotel, but a good resort in terms of space and services, but it lacks a lot of joy, it becomes a very boring resort that does not have any kind of entertainment or entertainment at night becomes a semi-empty city of life, meals are not bad and not good with all this luxury lacks many things so my car is not allowed to enter the resort and leave it outside the resort and this is what excites the car",reception,neutral
"a great hotel. a spacious, family-friendly apartment and a very friendly staff with parking that makes it easy for you to rent a car and move around. with balluby mosque for women and men and a children's pool, the hotel is located near the city centre station in central dubai.",parking,positive
"and as for the restaurant, i like the variety of food at breakfast and dinner.",meals,positive
"experience a resort worthy of a visit i spent more than 1635; days (with my family) splendor, the lobby of the hotel has free wi-fi (internet in the rooms at a fee) suitable rooms, halal food, swimming pool insane and suitable for all ages, a fantasy beach and around it more than the island visit and invite me",staff,neutral
"the lady at the front desk was good and liked to help unlike the rest of the staff who weren’t good, and the security guys asked me to key my room.",reception,neutral
"there is internet service and cars can be provided from the airport to the hotel and vice versa, the hotel has a gift market and an outdoor cafe that offers snacks and cold and hot drinks",beach,neutral
good quality restaurant and quick service - very romantic hotel.,hotel,positive
"just say no... the level of service was terrible, especially the servants. i would never come here unless it was free. i was expecting much better service with some interest. the interior of the building was rusty, on the top floor you could see everything up to the empty hallway, not even a little bit beautiful.",service,negative
question place no beds for kids_response to service zero_no mattresses for bathrooms_bad service levels_no water for coffee _slow service beach water dirty no walks in the bathroom please check before visiting. restaurant not good no services,service,negative
and the restaurant could be a more arabic variety.,restaurant,neutral
"and the health club from the sauna and massage and parties i hope to return to it, god willing, where i visited the hotel on 7/9/2013 and remained a period of eleven days in it and was very wonderful",facilities,positive
the bathroom is unclean.,bathroom,negative
a beautiful and wonderful place and very clean and the most beautiful people and the spirit of the place in your home every need of my home arrangement and reception and welcome as if you are about them and wishes to return visit them and comfortable,interaction,positive
"the hotel is small, but its rooms and breakfasts are great. the wi-fi is excellent, the service is friendly, and the pool is good.",television,neutral
"and the only negative was the fact that the reception wasn't up to standard, so when i checked in, they told me the pool hours were 11 at night, and i was surprised that they were closing at 6 p.m.",reception,negative
the most wonderful hotel i went last week to sharm el-sheikh and i got off to sherton and found it very luxurious and clean.,cleanliness,positive
the hotel only needs parking and the internet is free.,position,negative
very bad hotel service very bad i'm not reviewing it on 30*10*2012 and in crawling insects cockroaches,service,negative
i can't imagine a five-star hotel with such a horrible level of cleanliness.,cleanliness,negative
"for the third time in a row, we enjoyed our stay at the dar al eman hotel.",treatment,positive
the service is slow due to the heavy traffic and the size of the room is suitable and the price changes according to the seasons,service,neutral
"the rooms are medium in size, neither narrow nor spacious, and the level of cleanliness is excellent.",rooms,neutral
the average is just a finely-preserved hotel. it is about 5 minutes away from the kingdom centre and al faisaliah tower. the rooms were spacious and had old furniture.,accommodation,neutral
"the shower head did not work well as it sprayed water on the curtains wetting the floor. as a positive point for the hotel, this was fixed immediately.",hotel services,neutral
"traveler for business purpose the location was excellent, and close to sharaf dg station on foot. for rooms it was quiet and comfortable and breakfast is good and varied.",location,positive
even though the place is more than great and the hotel owners don't deserve this place.,location,positive
"there's no restaurant, no snacks, and very few shops around, so if you're late, bring a meal.",accommodation,neutral
"the breakfast wasn't very good, the shower didn't work very well, the staff was moody.",bathroom,negative
"yes, the views are great and the rooms are fine, but i haven’t been able to take a shower since january. although the hotel management has informed that the shower is not working, it is still the same as 5 months ago!",bathroom,negative
"charming, clean beaches, stunning landscapes, a wonderful and mild atmosphere, as well as calmness, sleep comfort and a romantic atmosphere in the evenings",facilities,positive
"the parking is suitable. the pool is separate from the hotel, but it appears to be a clean pool.",parking,neutral
"the rooms are medium in size, neither narrow nor spacious, and the level of cleanliness is excellent.",fitness,neutral
the rooms are nice and good for sleeping as they are quiet.,rooms,positive
"unsafe parking, poor lighting, sleazy and dirty housing, and unfortunately good water pressure in the dirty shower.",bathroom,negative
the hotel staff were helpful and the view from the roof is good though i don't call it a rooftop pool.,restaurant,neutral
"the hotel did not suit me very small and narrow rooms equal to three by four meters, and does not suit families at all, especially the gulf, furniture and old decorations, so far it is one of the worst hotels that have passed me in turkey, and a very small tv, most of the population is non-arab and no muslims. i never liked it despite its cleanliness :(",hotel,negative
"if you can afford to fly to egypt, you should be able to afford $40 to $60 per night and stay in a real hotel with an educated staff. keep looking, this place is really bad!",location,negative
"good location, don't take bags i stayed for two nights and enjoyed barcelona, the hotel was clean despite some noise,",beach,neutral
the management of the hotel from bad and failed departments because it did not solve any of the problems of guests and disembarking in a constant quarrel with the management of the hotel i advise not to go to this hotel for many problems.,management,negative
"there's bugs in the bed, we checked in late, i think he wants to fix the problem... guess he just wants to film the messenger.",bedding,negative
make sure you walk around with your shoes on because the carpet is dirty! the couch is old and used to smell bad. the cushions are flat as a door.,amenities,negative
"and the lake near the hotel, very pleasant at night and the hotel is very clean and has good hospitality and the manager is very cooperative with the guests.",pool,neutral
bad hotel by any measure.. bad service.. receptionists have nothing to do with the hotel.. old rooms.. beds are very uncomfortable.. the rooms smell bad.. the total experience is very bad.. i do not recommend the experience and compared to the price of the room with other hotels at the same price level i recommend the experience of hotels armed forces are better stages,receptionists,negative
"i am comfortable in it and the reason is the good location, excellent service and excellent cleanliness with the provision of all needs and assistance for all tourist trips and favorite places to visit in short, the hotel is clean and excellent and very close to the distinctive places in istanbul",service,positive
the hotel is bustling as the mosque is only a few metres away.,tourism,positive
great hotel great hotel great staff with the highest level of literature and taste great diversity of food and quantities and treatment of all hotel personnel except receptionists understand much less than the hotel level if the receptionists are trained on how to deal with visitors and how to meet their requests as much as possible,treatment,positive
"overpriced and noisy small rooms with a very strange appearance, there is no fully independent bathroom so the sink is located in the bedroom, then the separate shower is almost in the room, and the bathroom is very annoying, while the decor is bad and filled with a green artex layer. breakfast is not included. try ibis or novotel where they are mainly located nearby.",prices,negative
a nice hostess and a crew who are very keen on our needs. it doesn’t always happen in other hotels. we’ll be back.. bye in dubai.,facilities,positive
"the location of the hotel is a little remote, but it is also acceptable and well known at the taxis and accessible via gps.",reception,neutral
"rooms lack basic equipment - shampoo and hair dryer washing machines, cabinets and bar refrigerator.",facilities,negative
the hotel is generally accepted.,meals,neutral
breakfast is so bad they don't have a restaurant.,meals,negative
"to use a shower, if you desperately need to use a poor shower, beware of the electrical wires torn down the bathroom door.",amenities,negative
"cost minimization is best for good rooms, beautiful finishing. room service is good. it does not have its own tandoor oven. cost minimization is at its peak. there is no soap in the toilets. there is no shampoo. the shampoo dispenser has some annoying foam while the liquid is out. electrical socket problems - a problem in the bathroom and a problem in the room, that's all. and the gates of some rooms did not fit properly.",prices,neutral
"the manager is the most friendly ever and can help you meet all the requirements. the price is reasonable. i recommend this hotel for its location, cleanliness and car service....",prices,positive
bad service.,service,negative
"the furniture and decorations are a bit old but clean, the rooms are clean with reasonable space and the beds are comfortable, the bathrooms are clean and befitting the name of the hotel! the negative point is in the small area of the dining hall and the lack of services.",furniture,neutral
this hotel is very wonderful through its design and location on the nile river directly in the center of cairo and is easily accessible and has integrated services from various restaurants and cafes and a large lobby rooms wide and overlooks most of the nile river wonderful and there are nearby a lot of entertainment places and is very suitable for business and families,hotel,positive
"amazing in every sense of the word, it's the undisputed first for everyone who loves to enjoy the natural scenery, this is the right place, the reason is in the magnificent views in the balcony of the hotel rooms.",beach,positive
"even better, i’ve written about ivory before. i recently had a reason to visit them again and i was amazed. the place seems to have changed hands, and they’re in the process of fixing the place up. there’s even a small restaurant opening soon. i’ve been offered a first-class offer on a two-bedroom apartment. this place has a better price-for-performance ratio than before.",location,neutral
"i don't think the hotel will continue to be clean, because everything can be damaged quickly in general if it continues as it was possible to get off again near the sea and the area is very quiet and the price is good.",residence,positive
the food is excellent. there's no way you're going to end up with an insolvent stomach... in general i can't think of anything better in manali in the range of this price. it needs to stop its speed by dealing with temporary works. that's the only drawback.,television,neutral
"terrible the first room was terrible, it had a bad smell, and the toilet was broken. i asked to change the room, and the second was at a low level as well. so after the first night we went to another hotel. double the first hotel was in filth, where it was very, very dirty!",hotel,negative
"and all the staff of the hotel are looking for this service in addition to its proximity to services such as city centre deira, metro stations, central markets, supermarkets, dubai airport and naif souk abu hail, where they are only five minutes away by taxi",tourism,positive
the reception area always suffers from the accumulation of guests and the lack of professionalism of staff and their care to serve the guests as quickly as required,reception,negative
"since we stayed in the hotel, the comfort was there and the service was very good, and we received the staff with a smile for the room service was good, especially the supervisor veveveik was polite and responsive to all requests and all the times.",food,neutral
comfortable hotel the location of the hotel is very suitable for tourist as it is close to the metro and markets which makes it very easy to move,location,positive
"there must be a hotel rating authority this hotel may not be called five stars on it........ the place needs many repairs, especially the lightest sleep and most entertainment and toys!!!!!!!!!!! the beach is full of rocks and no comment or alert!!!!!!!!! the price is very expensive on the place!!!!!!!!!!!!!! swimming pool is good, but it does not have entertainment and restaurants and cafes many and good.",restaurant,neutral
"warning: please read before booking i do not understand how easily people are satisfied with this hotel, although i found it terrible. single room the size of a parking for one car. 2 3 meters or less. there is no air conditioning and my room was on the back side. the staff was actually quite good. the price was also very low! i can not remember, but about 60 euros. however, i do not recommend this place to people who are vacationing.",teamwork,positive
the beauty of the place is the cleanliness of the place.,location,positive
very good hotel his service hotel is excellent floors of all rooms ceramics and this thing is a big disadvantage there is no distinction room features the presence of a club and spa more than wonderful and close to restaurants from it,hotel,positive
"what a feeling of extreme privacy in that resort and the calm surrounding the place, which helps to recuperate the sea water is wonderful, the swimming pools are wonderful, especially those who were in front of my dining room variety and taste wonderful treatment of the crew is good, especially the pool staff i hope to return a third time",crew,positive
my age at the hilton hotel makkah peace be upon you my life was a two-day fast hotel very good but there is a problem i for me the problem of being on the internet is that the internet is everywhere in the hotel you have to pay to enjoy the internet sold me by the lobby you pay the amount and the room let the amount and the restaurant pay the amount of movement this is a regular hotel mo with a hotel the size of hilton i expect that the chain of hotels this is the only place where the net is,transportation,neutral
"room service sucks. there's no laundry, no irons.",amenities,negative
"the hotel furniture is great, but the elevator service is bad. there's not enough elevators.",elevator,negative
"all i found in the bathroom is a cockroach and the air conditioning won't work until 12 p.m., and the receptionist isn't fit to be a receptionist.",conditioning,neutral
"the rooms are very old and the smell is unbearable. the bathroom is dirty and the shower is rusty (very dangerous), the team was cooperative.",teamwork,positive
"for short business trips, which do not require special procedures, this hotel is fine, but no more!",transportation,neutral
"good accommodation we booked the marina apartments because of the location it was perfect to get to the bay. in general the apartment was very very spacious we had a two-bedroom apartment, two bathrooms and a spacious kitchen.",facilities,positive
i stayed at this hotel for two days and it was the worst hotel i've ever tried.,hotel,negative
"i arrived and my room wasn't ready yet because i came early without being informed, but they were generous and hospitable to receive me and they prepared the room as soon as possible.",amenities,neutral
"for the service rendered, the staff may not be smiling, but the keepers of the place are very clean, not to do regular room maintenance, but reasonable for the price.",service,negative
"in the heart of the city and for the hotel is excellent, especially its retention of the old style as well as its location on the sand",location,positive
"the worst hotel with the scariest experiences we have ever stayed there. we arrived at the hotel in the early hours of the morning, around 1 a.m., and these people had no desire to agree to give any discount for the day that had already passed.",hotel,negative
reception is poor and services are substandard.,service,negative
worst hotel i've ever been to.,hotel,negative
"the reception's so bad, the room i'm taking her without a lounge, they're turning the lounge into a bedroom.",room,negative
"a small room but a good shower with amenities in the room.....although there is no view overlooking the window of our room. to enjoy the views, you will be in the room just for bathing and sleeping.",facilities,neutral
"and the price is suitable for this luxury.. the service is fast and the reception is very beautiful.. there are 2 bars.. it is on pangla street almost directly only two steps and you are on the street and its location is the best location,,,",prices,neutral
the staff of the office were very helpful when i wanted to go to dahab (they have a place there too) and they organized trips to the blue hall and st. catherine’s monastery/mount sinai. this was my whole week at best... i like it!,staff,positive
"it's the little things, and even though our room was amazing, it had dust around the edges and the windows.",room,negative
"nature is at its best, and birds are at its fun. the resort is mild and uncrowded without comparison to amenities. hospitality is immediate and welcoming without rudeness.",interaction,positive
"the prices are good. the swimming pool is great. the quality of the feeder is high. although it is not directly on the beach, it is a practical and comfortable hotel that also offers a private beach transfer.",internet,neutral
"i was delighted to have my villa look amazing, i understand it has recently been redecorated. i use madlock villas at least once a year. i love the new smell and everything is very clean. madlock villas is an excellent choice for families, couples and groups. also, you have to love the place - it's great.",facilities,positive
"there is a private beach near the hotel (about 50 meters), an outdoor swimming pool, a restaurant, as well as a bar.",facilities,positive
the delivery of the room was delayed as the check-in was at 10 pm and the room was received 4 am sweet was booked for 4 people and upon entry the services were for 2 people only,service,negative
"thank you very much to everyone who contributed to make our stay fun and wonderful and do not forget, especially the people who received us as if we were in our homes and helped us until we traveled, although their work does not include this and knowing that i have stayed there three times and i would like to return again, god willing. it is not easy to find a place where the beauty of the place and people meet together.",facilities,positive
"the hotel has a lot of fast food shops around it, so it wasn't about the food.",facilities,positive
"it's an old hotel and it hasn't been renovated. i stayed here on a business trip because i had to, but it was a very pleasant experience.",rooms,neutral
the hotel was dirty and old and there was no room service cleaning the room all day.,hotel,negative
"there is an elevator and it works most of the time but it is the oldest and the most broken. overall, the accommodation was excellent.",elevator,negative
"excellent hotel and staff. good value for money. centrally, you can go anywhere on foot. very clean towels and beds.",hotel services,neutral
the swimming pool is small.,pool,negative
"there's no extra beds in the rooms, and when you order an extra pillow, we need two days to send it.",stay,negative
"the shower head and the upstairs bathroom lamp were down, the electrical panel was making loud buzzing that bothered the sleepers.",bathroom,negative
prayer and prayer in the rooms. breakfast is great.,rooms,positive
"but the biggest problem is the very average food in any of the restaurants. a typical block, the hotel meals have no panache.",food,negative
great experience in the hotel advantages of the hotel: close to the arab street on foot close to the two towers tom directly in front of him close to many important landmarks,tourism,positive
"when we entered our luggage in the room, the door could not be opened - i know it's new york city where the rooms are not spacious but this was a bit too much!",rooms,negative
a respectable hotel my stay was on 15th to 19th september 2014 the service is excellent the food is good and needs some adjustment and the aqua is excellent and has a good operating period from 10 to 5 pm and the sea is fun and mineral water and drinks everywhere,cleanliness,neutral
cheap and in the best location! we got a discount for being an ngo worker! but regular prices are also really cheap for this site.,hotel services,neutral
"excellent hotel!!! we had a great vacation, a good hotel, friendly teams, a good entertainment team thank you all :)",reception,neutral
rooms are suites and not standard rooms like the rest of the hotels. (two rooms separated by a door),cleanliness,neutral
"we started checking in, and we weren't allowed into the rooms until 3.30 p.m., and there were flies and mosquitoes in the room and they gave us spray spray to repel the mosquitoes.",rooms,negative
"the breakfast buffet is frequent and of little quality - there is no shower in the bathtub, only a faucet, and you have to go to the shower afterwards.",bathroom,negative
i enjoyed all my time in this hotel i had a tracker on the food and service but i was enjoying my time everywhere in the hotel such as aqua park and the animation team that i was with all the time and this team is one of the best and most beautiful animation teams in egypt)) thank you,hotel,positive
"the best of this hotel is the staff only, specifically irfan, izz al-din and ali, but management is not serious, dealing is not good, management is concerned with saving usage expenses, for example, i was at the end of may last year in the hotel for 10 days i want cold air, management does not respond, breakfast food is very cheap",management,negative
the delay at the elevators is a normal thing as there is always maintenance to one of the elevators waiting 1633; a minute is very normal at the elevators,elevator,negative
"excellent hotel - great - i advise everyone in october 2013 i stayed 3 days in the hotel - it was more than wonderful - suitable prices - excellent service - very clean rooms and wonderful bathrooms,",parking,neutral
"hotel near the markets there is no insulation in the rooms you hear everything without exception cleanliness reasonable inside the rooms furniture is normal best location and price, they provide several forms of children's beds tv is normal with all the channels air conditioning good rooms are spacious but i hope they care about cleanliness more",hotel,positive
breakfast is too frequent and too far you get tired until you get to the breakfast place and too crowded and the nuts are too late to reach you and sometimes you need more than the nuts because some of the nuts do not serve all the roles,facilities,negative
"convenient location,",location,positive
"cairo, egypt is the best puppet show i’ve ever seen and the best staff is friendly and helpful, especially adham, bodhi and marina. great view and close to the city centre as a message from egypt. for the hotel, we miss the staff so much, we love you so much, you’ve been an amazing team.",interaction,positive
and the buffet isn't good for me. it's best just for the campus and the receptionists.,buffet,positive
"and the super-premium dementia service, the food and drink places, the nightclubs, the pool, the way the meals are served, frankly, everything there is super-premium, and it's a relief to try to stay at the hotel when you get the chance.",pool,positive
two-star luxury hotel pretending to be 4 stars. 4 stars hotel on the ground floor and 2 stars in rooms,hotel,negative
"however, breakfast is very modest and there are not many options for the arab inmate.",facilities,neutral
a very good hotel from the best hotels in sharm el sheikh and has an excellent group of staff such as chef attia and reception eid and sameh,facilities,positive
"a very bad place in every need of reception, rooms, service, food, may god forgive the great mehsulh hotel, my star, and every need in line.",food,negative
the location is sweet everything nearby restaurants arab hell street two steps and you mean by arab i recommend housing in it,location,positive
"a wonderful hotel and service wonderful hotel for all who want to spend a vacation pleasant to him and the family views of the sea and accommodation is excellent and service wonderful and the best in the hotel at the highest, especially the reception and mr. amr atef, which facilitated everything i wish us and his colleagues good luck and god willing, the hotel will return again akiyye",residence,positive
"the hotel was beautiful, but its furniture began to deteriorate, the hotel did not have a health club, and i did not try to eat restaurants in it, the hotel is close to the dubai mall, and i do not recommend it in housing again because there are hotels superior to it at a close price.",bathroom,neutral
rooms are medium standard (no safe) and bathrooms are bad.,cleanliness,neutral
"the smile is their address, and now i'm staying at it, and the fact that you're smiling and they're always trying to help you, the staff is friendly and the restaurant is kind of good, and they have a great view of the beach terraces, kind of crowded with locals.",transportation,neutral
to improve the service in the hotel must take into account some things in order to improve the service first clean rooms must be daily and not on request,service,negative
"very central accommodation in gurgaon quality inn hotel is centrally located in the gurgaon area of sector 29 and has very well-furnished rooms, a restaurant serving multiple cuisines, excellent room service, friendly staff, value for money, and very competitive rates for work and accommodation",prices,positive
hotel cardenia it is a good hotel and its services are good and its staff are loyal to their work and high morals and the hotel's monastery is a gentleman... the hotel is quiet and delicious and has a comfortable gymnasium has been very comfortable with a room on my own and this hotel will be the hotel where i always stay,food,positive
but the staff was helpful.,staff,positive
and a nice partial view.,views,positive
"i'm not going to try this again, the level of treatment of the workers in a very bad hotel, especially with the egyptians, the problem of the law in the rooms.",employees,negative
"if the blash family, the place, if the guys keep the right place, the place is too high, if you and your friends see a place where you sleep nights and nights and spend the trip, they'll keep the hotel.",beach,neutral
"(they spray the place all the time but the cockroaches never end!) and although the hotel staff were doing their best, and i thank them for it, the facilities were not helping them.",fitness,negative
the room was small and narrow and the bathrooms were uncomfortable for muslim families.,room,negative
"the reception was smooth and understanding, especially the employee samir ahmed was the main reason for my admiration in the hotel and his immediate service to me.",reception,positive
"i'm writing this and i'm only staying for the first night and i'm staying two nights at the hotel, but i'm not staying at the hotel, if you're interested, but if you have a car, it's not far, and there are free connectors to the center i recommend staying there.",crew,positive
"the hotel has been modernized and renovated, but it can't be a hotel.",hotel,neutral
"excellent location with a long beach, swimming pool, and sunbathing area; nature is beautiful and the resort design is great.",location,positive
the worst vacation of the worst holidays i spent in sharm el sheikh the hotel is very bad for clean rooms food without change and very bad without taste and i was feeding my children most of the time from outside the hotel drinks of very bad and unknown types,eating,negative
the hotel is beautiful and clean the location is excellent fast food services is excellent stay in this hotel and this hotel will be my residence and advise everyone to do everything you need to know,food,positive
"breakfast was nice but the room was so worn out, it could have been cleaned up! inside the suite there was a ridiculously small ""dolly"".",hotel services,neutral
"the hotel is good but it is one of the distinctive hotels in its location and has many features such as delicious breakfast and the site and the free internet and the open garden and has an integrated gym the biggest disadvantages that i see now and did not exist before is their lack of interest and the arrangement of the place as before and this does not mean that they are not arranged, but those who know them well and live there several times will know the difference the second disadvantage of the internet is very slow",staff,neutral
sunset hotel sharm el sheikh is a very monster hotel..... away from cleaning and taking care of the comfort of guests that does not exist purely,amenities,negative
it has a beautiful swimming pool with a small bar and a nice open buffet restaurant for breakfast with good service. most rooms have a view over the sea!,pool,positive
question place no beds for kids_response to service zero_no mattresses for bathrooms_bad service levels_no water for coffee _slow service beach water dirty no walks in the bathroom please check before visiting. restaurant not good no services,amenities,negative
the new room was flushed and the sink was blocked. we had a leper in the room (and a friend's room nearby) and we couldn't get him out.,facilities,negative
"this has already made my memory of the place dreary. excuse me, i have nothing nice to say. totally terrible.",place,negative
"a good hotel for business trips, with modern facilities. it can also be a great tourist base, as it is close to tourist attractions and tower hill subway station.",facilities,neutral
the price is normal and the food tastes good. the road to the beach took about 10 minutes.,meals,neutral
very good hotel. the staff was excellent. i stayed one night doing everything was great. the rooms are well sized and well equipped. the pool and gym are great. a rather unfocused location of the road but convenient to dubai airport and a short distance downtown.,fitness,positive
"which made a good impact. the cleanliness of the rooms was at the top, the food was preserved but of good quality. a special tribute to mohammed amer at the main restaurant who did his best in helping us, we definitely recommend this hotel.",food,neutral
"clean, breakfast is fine, but the rooms are too small.",room,neutral
"this hotel needs a change in management as the food is so bad that some of the staff were not eating at the hotel and as a result, in addition to not having any entertainment, i will definitely never come back to this hotel again.",food,negative
the hotel is clean and the food tastes good and the prices are good for everyone.,location,neutral
"bathroom: the bathroom had a jacuzzi, but it didn’t work. i didn’t have a lot of time to complain and change rooms or fix the jacuzzi... bad.",bathroom,negative
they have to renovate the facility right away... it looks like an old building... big rooms with terrible equipment... the pool water was green!!! the restaurant is good at least you can get something to eat.. i would sit in a meeting with the owners to discuss the standards that the traveler needs.. the view overlooking the park palace is beautiful...,receptionists,neutral
"the hotel is small, but its rooms and breakfasts are great. the wi-fi is excellent, the service is friendly, and the pool is good.",hotel,neutral
"amazing hotel!! we spend the night here during a trip to the desert, the best place!! the resort is built in the traditional way with local materials, and it was built on top of a hill surrounded by amazing views from all sides, and it is very quiet. the food and the kitchen are as good as expected in the middle of the desert.",amenities,neutral
the rooms are clean and modern / breakfast is fine.....a very comfortable family.....try it and you won’t regret it. you have to walk for 15 minutes to the subway but the road is very comfortable....,food,neutral
breakfast was reasonable and i didn’t try any other meals. the staff was very good.,facilities,neutral
"an excellent location of excellent hotels in geneva, overlooking lake geneva, and there is a restaurant, cafe, bar and night club, the rooms are good size, but the furniture does not think that it is a five-star hotel, compared to hotels in the gulf countries, the hotel is distinguished by its location on the lake and close to restaurants and the vital area paquet,",parking,neutral
"in particular, we leave our personal belongings and money to come back and find them as they are and in their place and the good reception of the staff of al rayes by launching in al tawer and the kindness of their treatment thank you on my behalf and on behalf of the ministry of foreign affairs and international cooperation dr. wafaa al tawini",staff,positive
good choice is very convenient for me in terms of price compared to the quality of accommodation and breakfast.,meals,neutral
"it's the worst hotel i've ever lived in, ruined bathrooms, contaminated water, a broken crib, a broken phone, no internet.",bedding,negative
"great value, good location, excellent breakfast is a 10-minute walk from plaza mayor. a lively neighborhood with authentic spanish shops.",views,neutral
"it's the worst hotel i've ever visited. stay away from it. and if you don't believe me, go see for yourselves.",hotel,negative
"the best place to eat and/or sleep i’ve been exploring the little bay and found that finding good food outdoors is hard, when this place turned out like a mirage! i ate outside – no traffic, a great view of the little bay and good food of nutritional value served by friendly staff (although they were busy preparing for a large group at the restaurant). it looks like a nice place to stay. also.",place,positive
the single elevator can hold about 3 people without luggage and is hideous.,elevator,negative
experience is the best proof before his stay in the hotel i have read many comments and all of them do not tell the truth. i have not found or seen any of what has been said about him and all of them were lies and slanders. man should be followed to write honestly and safely because he is an accountant. and thank all the hotel staff for hospitality and reception.,amenities,neutral
simple rudimentary room.,room,negative
"the full comfort of the residence was excellent, providing all the comforts and high-end handling of all employees was outstanding. the place is very pleasant and comfortable. thank you for your outstanding service.",accommodation,positive
"breakfast was nice but the room was so worn out, it could have been cleaned up! inside the suite there was a ridiculously small ""dolly"".",meals,neutral
"and bugs on the pillows, blood on the pillows and on the wall, holes in the sheets, an extremely dirty room and rugs and the worst breakfast ever! don't stay here!",meals,negative
we played tennis and squash and used the gym and the jacuzzi.,fitness,positive
"a lot of stairs and that's tired with luggage, a lot of closed doors that are difficult to cross with luggage, no chain of safety and no lock on the door",elevator,negative
"if you’re looking for an inexpensive and affordable hotel, this is the right one. it’s not very luxurious but it has plenty of amenities to make your stay comfortable.",wifi,neutral
"a regular hotel in a residential area is not worth the money, but it is expensive. in the morning you can hear the sound of minerals (there is a storehouse of liquefied natural gas next to it). they are trying to make the area green, but planting a few trees is not comparable to the natural beauty for which we used to travel in wayanad. the service is bad and so is the behavior of the staff.",service,negative
"the service is good, but i stayed here during a business trip in the area. all i can do is repeat the previous remarks, the hotel building is old and the rooms are old, as well as the decoration and facilities.",receptionists,neutral
amazing hotel! i stayed here in late may and it was a very comfortable stay in this place. it is located downtown and lots of business centers.,residence,positive
"overcrowded with cheap tour packages. not quite business-friendly, the only upside is the free wi-fi and that the site was very close to a metro station.",transportation,positive
where the sheets are old and worn. a room with a very unpleasant smell. a balcony and beautiful windows. the staff is fine. very good location,receptionists,neutral
"a very bad place in every need of reception, rooms, service, food, may god forgive the great mehsulh hotel, my star, and every need in line.",hotel,negative
question place no beds for kids_response to service zero_no mattresses for bathrooms_bad service levels_no water for coffee _slow service beach water dirty no walks in the bathroom please check before visiting. restaurant not good no services,service,negative
experience is the best proof before his stay in the hotel i have read many comments and all of them do not tell the truth. i have not found or seen any of what has been said about him and all of them were lies and slanders. man should be followed to write honestly and safely because he is an accountant. and thank all the hotel staff for hospitality and reception.,reception,positive
the price is not compatible with the place we stayed there for two nights in two rooms: the pros - the rooms are clean - the english breakfast is good - the location is acceptable,location,neutral
"a quiet resort a very quiet, clean and safe resort, god willing, it is a beautiful place for the conservative family and there is no noise or anything.. the hotel is two floors and small and reception is good and service is fast and friendly and parking is available very much and they have a clean beach with some water games you can rent it as a jet ski clock of 1637321632; real and small boat manual of 163732; real and ship of 16371632.",cleanliness,neutral
cheap and in the best location! we got a discount for being an ngo worker! but regular prices are also really cheap for this site.,meals,neutral
"my family and i went on vacation for the first time and i found the hotel clean and qualified staff made the vacation a wonderful food despite some of the unusual amounts of food, but there was enough and well -",teamwork,positive
"i don't know how to leave him in this shitty state, the ministry of tourism is giving him five stars, two stars, we've spent four nights fixing up how people can get off at this hotel.",food,neutral
"location, good staff and uninteresting rooms.",accommodation,neutral
"the rooms are very large and spacious, there is a problem in the bathroom where water flows into the bathroom from the bathtub.",bathroom,neutral
"and mako thoroughly cleaned the working rooms, wiped the floor, made the bed, and walked without taking out all the trash.",rooms,negative
the food is excellent. there's no way you're going to end up with an insolvent stomach... in general i can't think of anything better in manali in the range of this price. it needs to stop its speed by dealing with temporary works. that's the only drawback.,beach,neutral
"a regular hotel in a residential area is not worth the money, but it is expensive. in the morning you can hear the sound of minerals (there is a storehouse of liquefied natural gas next to it). they are trying to make the area green, but planting a few trees is not comparable to the natural beauty for which we used to travel in wayanad. the service is bad and so is the behavior of the staff.",hotel services,neutral
looks more like a backpacker motel than a 3-star hotel!,hotel,positive
"i have been from two years we are staying in the hotel hotel and the situation is terrible really means the cockroaches are in the hotel and i found them in my personal room and also air conditioners almost does not work any you will fly to open the window and did not sleep well and say to madame alia take care of your hotel zain and you must choose the workers well because most of the workers style their purpose,,,,, and thank you...",beach,neutral
"worthless i went there two years ago when albatross was running the hotel. it was a very good hotel, and the services were very good. but now, under the new administration, it's too expensive for the service. i couldn't sleep because of mosquitoes, and the quality of food was very bad. i had a really bad holiday there.",service,neutral
an apartment is below average if you want to go on vacation.,facilities,negative
"overpriced, half-bad attitude doesn't correct the mistake made by the employees, it gives you the sense that you're living there for free.",interaction,negative
"great features: the hotel was very good, the bar on the ground floor and an extra disco on the 16th floor. the rooms are clean. guests at this hotel are mostly russians or asians.",rooms,positive
